"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"Q7Z3D6",NA,"turquoise",2,FALSE,FALSE
"Q7Z406",NA,"brown",2,FALSE,FALSE
"Q7Z4W1","green","blue",3,FALSE,FALSE
"Q7Z553",NA,"turquoise",2,FALSE,FALSE
"Q7Z794",NA,"brown",2,FALSE,FALSE
"Q7Z7B0",NA,"blue",2,FALSE,FALSE
"Q7Z7G0",NA,"brown",2,FALSE,FALSE
"Q7Z7M0",NA,"brown",2,FALSE,FALSE
"Q86SX6",NA,"blue",2,FALSE,FALSE
"Q86TC9",NA,"turquoise",2,FALSE,FALSE
"Q86TD4",NA,"pink",2,FALSE,FALSE
"Q86TX2","brown","pink",3,FALSE,FALSE
"Q86U28",NA,"brown",2,FALSE,FALSE
"Q86UP2","yellow","brown",3,FALSE,FALSE
"Q86UR5",NA,"brown",2,FALSE,FALSE
"Q86US8",NA,"yellow",2,FALSE,FALSE
"Q86UT6",NA,"turquoise",2,FALSE,TRUE
"Q86VF7",NA,"blue",2,FALSE,FALSE
"Q86VP6","turquoise","green",3,FALSE,TRUE
"Q86VV8",NA,"green",2,FALSE,FALSE
"Q86WU2",NA,"blue",2,FALSE,FALSE
"Q86Y39",NA,"turquoise",2,FALSE,FALSE
"Q86Y46",NA,"blue",2,FALSE,FALSE
"Q86YB7",NA,"brown",2,FALSE,FALSE
"Q86YM7",NA,"brown",2,FALSE,FALSE
"Q86YZ3",NA,"brown",2,FALSE,TRUE
"Q8IUG5",NA,"red",2,FALSE,FALSE
"Q8IUL8",NA,"red",2,FALSE,TRUE
"Q8IUX7",NA,"blue",2,FALSE,FALSE
"Q8IV08","turquoise",NA,1,FALSE,FALSE
"Q8IVH4",NA,"blue",2,FALSE,TRUE
"Q8IVN3",NA,"brown",2,FALSE,FALSE
"Q8IWA4",NA,"brown",2,FALSE,FALSE
"Q8IWW8",NA,"brown",2,FALSE,FALSE
"Q8IWX7","turquoise","turquoise",3,FALSE,TRUE
"Q8IXI1",NA,"green",2,FALSE,FALSE
"Q8IXI2",NA,"green",2,FALSE,FALSE
"Q8IZT6",NA,"brown",2,FALSE,FALSE
"Q8N0X4",NA,"brown",2,FALSE,FALSE
"Q8N139",NA,"yellow",2,FALSE,FALSE
"Q8N142",NA,"turquoise",2,FALSE,FALSE
"Q8N183",NA,"brown",2,FALSE,FALSE
"Q8N1G2",NA,"blue",2,FALSE,FALSE
"Q8N1G4","blue","green",3,FALSE,TRUE
"Q8N335",NA,"turquoise",2,TRUE,TRUE
"Q8N3J5",NA,"yellow",2,FALSE,FALSE
"Q8N3K9",NA,"red",2,FALSE,FALSE
"Q8N3L3",NA,"pink",2,FALSE,FALSE
"Q8N3V7",NA,"red",2,FALSE,FALSE
"Q8N4Q0",NA,"blue",2,FALSE,FALSE
"Q8N5M1",NA,"turquoise",2,FALSE,FALSE
"Q8N6K7",NA,"red",2,FALSE,FALSE
"Q8N766",NA,"turquoise",2,FALSE,TRUE
"Q8N7X0",NA,"brown",2,FALSE,TRUE
"Q8N8N7",NA,"yellow",2,FALSE,FALSE
"Q8NB12","turquoise","pink",3,FALSE,TRUE
"Q8NB16",NA,"red",2,FALSE,FALSE
"Q8NBF2",NA,"turquoise",2,FALSE,FALSE
"Q8NBN7",NA,"turquoise",2,FALSE,FALSE
"Q8NBS9","brown","red",3,FALSE,FALSE
"Q8NBU5",NA,"turquoise",2,FALSE,TRUE
"Q8NBX0",NA,"turquoise",2,FALSE,FALSE
"Q8NC51","turquoise","blue",3,FALSE,FALSE
"Q8NCA5",NA,"yellow",2,FALSE,FALSE
"Q8NCU8",NA,"turquoise",2,FALSE,FALSE
"Q8NCW5",NA,"yellow",2,FALSE,TRUE
"Q8NDY3",NA,"turquoise",2,FALSE,TRUE
"Q8NE79","turquoise","turquoise",3,FALSE,TRUE
"Q8NF91",NA,"red",2,FALSE,TRUE
"Q8NFV4",NA,"brown",2,FALSE,FALSE
"Q8NI60",NA,"brown",2,FALSE,FALSE
"Q8TB37",NA,"turquoise",2,FALSE,FALSE
"Q8TCS8",NA,"yellow",2,FALSE,FALSE
"Q8TD26",NA,"turquoise",2,FALSE,FALSE
"Q8TD84",NA,"turquoise",2,FALSE,FALSE
"Q8TE73",NA,"blue",2,FALSE,FALSE
"Q8TEU7",NA,"brown",2,FALSE,FALSE
"Q8WUM4","turquoise","green",3,FALSE,FALSE
"Q8WVV4",NA,"brown",2,FALSE,FALSE
"Q8WW22",NA,"green",2,FALSE,FALSE
"Q8WW59",NA,"yellow",2,FALSE,FALSE
"Q8WWI1",NA,"brown",2,FALSE,FALSE
"Q8WWV3",NA,"turquoise",2,FALSE,FALSE
"Q8WX93","blue","yellow",3,FALSE,FALSE
"Q8WXH0",NA,"blue",2,FALSE,TRUE
"Q8WZ42","brown","yellow",3,TRUE,FALSE
"Q92499","green","yellow",3,FALSE,FALSE
"Q92506",NA,"blue",2,FALSE,FALSE
"Q92522",NA,"blue",2,FALSE,FALSE
"Q92523",NA,"turquoise",2,FALSE,TRUE
"Q92552",NA,"turquoise",2,FALSE,FALSE
"Q92597",NA,"red",2,FALSE,FALSE
"Q92614","turquoise","turquoise",3,FALSE,FALSE
"Q92626",NA,"turquoise",2,FALSE,TRUE
"Q92629",NA,"turquoise",2,TRUE,TRUE
"Q92665",NA,"blue",2,FALSE,FALSE
"Q92734",NA,"blue",2,FALSE,FALSE
"Q92736",NA,"turquoise",2,TRUE,TRUE
"Q92743","brown",NA,1,FALSE,FALSE
"Q92747",NA,"green",2,FALSE,FALSE
"Q92841","turquoise","blue",3,FALSE,FALSE
"Q92890",NA,"turquoise",2,FALSE,TRUE
"Q92901",NA,"turquoise",2,FALSE,TRUE
"Q92945","turquoise","blue",3,FALSE,FALSE
"Q92947",NA,"pink",2,FALSE,FALSE
"Q92973","turquoise","pink",3,FALSE,FALSE
"Q93052",NA,"yellow",2,FALSE,FALSE
"Q93062",NA,"red",2,FALSE,FALSE
"Q93077",NA,"blue",2,FALSE,TRUE
"Q969G5","red","blue",3,FALSE,FALSE
"Q969H8","blue",NA,1,FALSE,FALSE
"Q969T9",NA,"red",2,FALSE,FALSE
"Q96A26",NA,"turquoise",2,FALSE,TRUE
"Q96AB3",NA,"blue",2,FALSE,FALSE
"Q96AC1","brown","turquoise",3,FALSE,TRUE
"Q96AE4","turquoise","red",3,FALSE,FALSE
"Q96AG4","green",NA,1,FALSE,FALSE
"Q96AN5",NA,"turquoise",2,FALSE,TRUE
"Q96AY3","blue",NA,1,FALSE,FALSE
"Q96C01",NA,"red",2,FALSE,FALSE
"Q96CM8","brown","turquoise",3,FALSE,FALSE
"Q96CN7","turquoise","blue",3,FALSE,FALSE
"Q96CV9",NA,"blue",2,FALSE,FALSE
"Q96CW1",NA,"turquoise",2,FALSE,FALSE
"Q96CX2",NA,"red",2,FALSE,FALSE
"Q96DB5",NA,"brown",2,TRUE,FALSE
"Q96DC8",NA,"brown",2,FALSE,FALSE
"Q96DG6",NA,"turquoise",2,FALSE,FALSE
"Q96DL1",NA,"black",2,FALSE,TRUE
"Q96DV4","green",NA,1,FALSE,FALSE
"Q96E11",NA,"brown",2,FALSE,FALSE
"Q96EY1",NA,"brown",2,FALSE,FALSE
"Q96EY7",NA,"turquoise",2,FALSE,FALSE
"Q96FJ2",NA,"blue",2,FALSE,FALSE
"Q96FW1","yellow","green",3,FALSE,TRUE
"Q96GK7",NA,"brown",2,FALSE,TRUE
"Q96HC4","turquoise","brown",3,FALSE,FALSE
"Q96HY7",NA,"blue",2,FALSE,FALSE
"Q96I23",NA,"turquoise",2,FALSE,FALSE
"Q96I99","green","brown",3,FALSE,TRUE
"Q96IX5","blue","green",3,FALSE,TRUE
"Q96KP4",NA,"yellow",2,FALSE,FALSE
"Q96L34",NA,"blue",2,FALSE,TRUE
"Q96MF6",NA,"turquoise",2,FALSE,FALSE
"Q96NW7",NA,"turquoise",2,FALSE,FALSE
"Q96PE7",NA,"blue",2,FALSE,FALSE
"Q96PP4",NA,"green",2,FALSE,TRUE
"Q96PU8",NA,"blue",2,FALSE,FALSE
"Q96Q06",NA,"brown",2,FALSE,FALSE
"Q96Q15",NA,"blue",2,FALSE,FALSE
"Q96QK1","blue","turquoise",3,FALSE,TRUE
"Q96QR8",NA,"yellow",2,TRUE,FALSE
"Q96QV1",NA,"turquoise",2,FALSE,TRUE
"Q96RP9",NA,"yellow",2,FALSE,FALSE
"Q96RQ3",NA,"blue",2,FALSE,TRUE
"Q96T58",NA,"yellow",2,FALSE,TRUE
"Q99436",NA,"yellow",2,FALSE,FALSE
"Q99447",NA,"blue",2,FALSE,FALSE
"Q99459",NA,"brown",2,FALSE,FALSE
"Q99460","green","turquoise",3,FALSE,TRUE
"Q99489",NA,"yellow",2,FALSE,FALSE
"Q99497","turquoise","brown",3,FALSE,FALSE
"Q99536","green","blue",3,FALSE,TRUE
"Q99571",NA,"yellow",2,TRUE,FALSE
"Q99584",NA,"red",2,FALSE,TRUE
"Q99623","brown","brown",3,FALSE,FALSE
"Q99627",NA,"yellow",2,FALSE,FALSE
"Q99653",NA,"yellow",2,FALSE,FALSE
"Q99714","brown","turquoise",3,FALSE,FALSE
"Q99715",NA,"red",2,FALSE,FALSE
"Q99729","turquoise","yellow",3,FALSE,TRUE
"Q99733","yellow","red",3,FALSE,FALSE
"Q99747",NA,"yellow",2,FALSE,FALSE
"Q99757",NA,"green",2,FALSE,FALSE
"Q99766",NA,"green",2,FALSE,FALSE
"Q99798","blue","brown",3,FALSE,FALSE
"Q99807",NA,"green",2,FALSE,TRUE
"Q99832","brown","brown",3,FALSE,FALSE
"Q99873","blue",NA,1,FALSE,FALSE
"Q99959","green","turquoise",3,TRUE,FALSE
"Q9BPW8","blue","brown",3,FALSE,FALSE
"Q9BPX5",NA,"red",2,FALSE,FALSE
"Q9BQ69",NA,"turquoise",2,FALSE,FALSE
"Q9BQ95",NA,"turquoise",2,FALSE,FALSE
"Q9BQI9",NA,"blue",2,FALSE,FALSE
"Q9BR39",NA,"turquoise",2,FALSE,FALSE
"Q9BRA2","turquoise","red",3,FALSE,TRUE
"Q9BRG1",NA,"turquoise",2,FALSE,FALSE
"Q9BRT2",NA,"yellow",2,FALSE,TRUE
"Q9BRX2",NA,"brown",2,FALSE,FALSE
"Q9BRX8",NA,"turquoise",2,FALSE,FALSE
"Q9BS26","blue",NA,1,FALSE,FALSE
"Q9BS92",NA,"brown",2,FALSE,FALSE
"Q9BSH4",NA,"yellow",2,FALSE,FALSE
"Q9BT78","green","blue",3,FALSE,FALSE
"Q9BTZ2",NA,"brown",2,FALSE,FALSE
"Q9BU61",NA,"brown",2,FALSE,FALSE
"Q9BUF5","blue","turquoise",3,FALSE,FALSE
"Q9BUR5",NA,"green",2,FALSE,FALSE
"Q9BV73",NA,"blue",2,FALSE,TRUE
"Q9BV79",NA,"blue",2,FALSE,FALSE
"Q9BVC6",NA,"turquoise",2,FALSE,TRUE
"Q9BVK6","blue",NA,1,FALSE,FALSE
"Q9BVV7",NA,"turquoise",2,FALSE,TRUE
"Q9BW72",NA,"green",2,FALSE,FALSE
"Q9BWH2",NA,"turquoise",2,FALSE,TRUE
"Q9BX66",NA,"blue",2,FALSE,FALSE
"Q9BX68","green","brown",3,FALSE,TRUE
"Q9BXK5",NA,"turquoise",2,FALSE,FALSE
"Q9BXN1",NA,"red",2,FALSE,FALSE
"Q9BXW7",NA,"green",2,FALSE,FALSE
"Q9BXX0",NA,"blue",2,FALSE,FALSE
"Q9BY12",NA,"blue",2,FALSE,FALSE
"Q9BYD3",NA,"brown",2,FALSE,FALSE
"Q9BYN8",NA,"yellow",2,FALSE,FALSE
"Q9BYV2",NA,"blue",2,FALSE,FALSE
"Q9BYZ2",NA,"green",2,FALSE,FALSE
"Q9BZL4",NA,"blue",2,FALSE,FALSE
"Q9BZQ8",NA,"turquoise",2,FALSE,FALSE
"Q9GZM7",NA,"pink",2,FALSE,FALSE
"Q9GZT3","turquoise","yellow",3,FALSE,FALSE
"Q9GZV1",NA,"turquoise",2,FALSE,FALSE
"Q9GZY8",NA,"turquoise",2,FALSE,TRUE
"Q9H061",NA,"pink",2,FALSE,FALSE
"Q9H0E2",NA,"brown",2,FALSE,FALSE
"Q9H0N5",NA,"yellow",2,FALSE,FALSE
"Q9H0R4",NA,"yellow",2,FALSE,FALSE
"Q9H0U4",NA,"turquoise",2,FALSE,FALSE
"Q9H1E3",NA,"brown",2,FALSE,FALSE
"Q9H1K1",NA,"brown",2,FALSE,FALSE
"Q9H223","turquoise","pink",3,FALSE,TRUE
"Q9H254",NA,"blue",2,FALSE,TRUE
"Q9H299",NA,"brown",2,FALSE,FALSE
"Q9H2D6",NA,"blue",2,FALSE,TRUE
"Q9H2U2",NA,"brown",2,TRUE,FALSE
"Q9H2W6",NA,"brown",2,FALSE,FALSE
"Q9H3G5","turquoise","yellow",3,FALSE,FALSE
"Q9H3S7",NA,"brown",2,FALSE,TRUE
"Q9H444","blue",NA,1,FALSE,FALSE
"Q9H479",NA,"turquoise",2,FALSE,TRUE
"Q9H4B7",NA,"yellow",2,FALSE,FALSE
"Q9H4M9",NA,"blue",2,FALSE,FALSE
"Q9H598",NA,"blue",2,FALSE,TRUE
"Q9H6K4",NA,"turquoise",2,FALSE,FALSE
"Q9H7C9",NA,"green",2,FALSE,FALSE
"Q9H7Z7",NA,"blue",2,FALSE,TRUE
"Q9H845",NA,"brown",2,TRUE,FALSE
"Q9H853",NA,"green",2,FALSE,TRUE
"Q9H8L6",NA,"yellow",2,FALSE,FALSE
"Q9H8M1",NA,"yellow",2,FALSE,FALSE
"Q9H987","turquoise","blue",3,FALSE,FALSE
"Q9H9B4","blue","turquoise",3,FALSE,TRUE
"Q9H9P8",NA,"turquoise",2,FALSE,FALSE
"Q9HAT2",NA,"brown",2,FALSE,FALSE
"Q9HAV7",NA,"blue",2,FALSE,TRUE
"Q9HBH5",NA,"turquoise",2,FALSE,FALSE
"Q9HBK9",NA,"green",2,FALSE,TRUE
"Q9HBL0",NA,"brown",2,FALSE,FALSE
"Q9HBL7",NA,"turquoise",2,FALSE,FALSE
"Q9HBU9","red",NA,1,FALSE,FALSE
"Q9HC38",NA,"red",2,FALSE,FALSE
"Q9HCC0",NA,"blue",2,FALSE,FALSE
"Q9HCP6",NA,"turquoise",2,FALSE,TRUE
"Q9HD34",NA,"brown",2,FALSE,FALSE
"Q9NNW7",NA,"blue",2,FALSE,TRUE
"Q9NP72",NA,"turquoise",2,FALSE,TRUE
"Q9NP74",NA,"red",2,FALSE,FALSE
"Q9NP81",NA,"brown",2,FALSE,FALSE
"Q9NP97",NA,"yellow",2,FALSE,TRUE
"Q9NPC6","turquoise","brown",3,FALSE,TRUE
"Q9NPH2","turquoise",NA,1,TRUE,FALSE
"Q9NPJ3","turquoise","brown",3,FALSE,FALSE
"Q9NQC3","yellow","turquoise",3,FALSE,FALSE
"Q9NQH7",NA,"blue",2,FALSE,FALSE
"Q9NQW7",NA,"turquoise",2,FALSE,FALSE
"Q9NQX4",NA,"blue",2,FALSE,TRUE
"Q9NR09",NA,"green",2,FALSE,FALSE
"Q9NR28",NA,"brown",2,FALSE,FALSE
"Q9NR45","blue","blue",3,FALSE,FALSE
"Q9NRG7",NA,"green",2,FALSE,FALSE
"Q9NRV9",NA,"brown",2,FALSE,FALSE
"Q9NRX4",NA,"brown",2,FALSE,TRUE
"Q9NS69",NA,"green",2,FALSE,FALSE
"Q9NSD9","brown","green",3,FALSE,TRUE
"Q9NSE4","brown","green",3,FALSE,TRUE
"Q9NT22",NA,"turquoise",2,FALSE,FALSE
"Q9NTG7",NA,"yellow",2,TRUE,FALSE
"Q9NTK5",NA,"yellow",2,FALSE,FALSE
"Q9NU22",NA,"yellow",2,FALSE,FALSE
"Q9NUB1",NA,"turquoise",2,FALSE,FALSE
"Q9NUJ1",NA,"yellow",2,FALSE,FALSE
"Q9NUL3",NA,"turquoise",2,FALSE,FALSE
"Q9NV70",NA,"brown",2,FALSE,TRUE
"Q9NVA2",NA,"blue",2,FALSE,FALSE
"Q9NVD7",NA,"turquoise",2,FALSE,FALSE
"Q9NVH1",NA,"turquoise",2,FALSE,TRUE
"Q9NVH6",NA,"turquoise",2,FALSE,FALSE
"Q9NVI7",NA,"pink",2,FALSE,FALSE
"Q9NVJ2",NA,"turquoise",2,FALSE,TRUE
"Q9NVT9",NA,"turquoise",2,FALSE,FALSE
"Q9NWU1",NA,"yellow",2,FALSE,FALSE
"Q9NX14",NA,"turquoise",2,FALSE,FALSE
"Q9NX40",NA,"brown",2,FALSE,FALSE
"Q9NX63","brown","brown",3,FALSE,FALSE
"Q9NXA8",NA,"red",2,FALSE,FALSE
"Q9NXG0",NA,"red",2,FALSE,FALSE
"Q9NY65",NA,"turquoise",2,FALSE,FALSE
"Q9NYJ8",NA,"blue",2,FALSE,TRUE
"Q9NYU2","red",NA,1,FALSE,FALSE
"Q9NZ45","blue","green",3,FALSE,TRUE
"Q9NZ56",NA,"blue",2,FALSE,TRUE
"Q9NZA1",NA,"blue",2,FALSE,FALSE
"Q9NZI8","turquoise",NA,1,FALSE,FALSE
"Q9NZJ4",NA,"yellow",2,FALSE,FALSE
"Q9NZJ6",NA,"green",2,FALSE,FALSE
"Q9NZJ7",NA,"turquoise",2,FALSE,TRUE
"Q9NZL9",NA,"yellow",2,FALSE,FALSE
"Q9NZN3","turquoise","blue",3,TRUE,FALSE
"Q9NZN4",NA,"brown",2,FALSE,FALSE
"Q9NZT1",NA,"brown",2,FALSE,FALSE
"Q9P032",NA,"turquoise",2,FALSE,FALSE
"Q9P0J0","red","blue",3,FALSE,FALSE
"Q9P0J1",NA,"green",2,FALSE,FALSE
"Q9P0L0",NA,"green",2,FALSE,TRUE
"Q9P0M6","turquoise",NA,1,FALSE,FALSE
"Q9P2D1",NA,"brown",2,FALSE,FALSE
"Q9P2E9","blue","brown",3,FALSE,FALSE
"Q9P2R7","brown","green",3,FALSE,TRUE
"Q9P2T1",NA,"black",2,FALSE,FALSE
"Q9UBI6",NA,"brown",2,FALSE,FALSE
"Q9UBQ0",NA,"green",2,FALSE,FALSE
"Q9UBQ7","brown","green",3,FALSE,FALSE
"Q9UBR2","yellow","brown",3,FALSE,FALSE
"Q9UBX5",NA,"red",2,TRUE,FALSE
"Q9UBY9","turquoise","brown",3,TRUE,TRUE
"Q9UDR5",NA,"green",2,FALSE,FALSE
"Q9UDW1",NA,"green",2,FALSE,FALSE
"Q9UDY2",NA,"yellow",2,FALSE,TRUE
"Q9UDY4",NA,"blue",2,FALSE,FALSE
"Q9UFN0",NA,"blue",2,FALSE,FALSE
"Q9UHD8","green","brown",3,FALSE,FALSE
"Q9UHD9",NA,"red",2,FALSE,TRUE
"Q9UHG3","red","turquoise",3,FALSE,FALSE
"Q9UHP9",NA,"brown",2,FALSE,FALSE
"Q9UHQ9",NA,"turquoise",2,FALSE,FALSE
"Q9UHV9",NA,"brown",2,FALSE,TRUE
"Q9UI09",NA,"red",2,FALSE,FALSE
"Q9UI46",NA,"turquoise",2,FALSE,FALSE
"Q9UI47",NA,"turquoise",2,FALSE,TRUE
"Q9UIF8",NA,"blue",2,FALSE,FALSE
"Q9UII2",NA,"blue",2,FALSE,TRUE
"Q9UIJ7","blue","brown",3,FALSE,FALSE
"Q9UJ70",NA,"yellow",2,FALSE,FALSE
"Q9UJU6","blue","blue",3,FALSE,FALSE
"Q9UJY1",NA,"blue",2,FALSE,TRUE
"Q9UJZ1","brown","yellow",3,FALSE,TRUE
"Q9UKG1",NA,"yellow",2,FALSE,FALSE
"Q9UKM9","green",NA,1,FALSE,FALSE
"Q9UKS6",NA,"pink",2,FALSE,TRUE
"Q9UKU0",NA,"yellow",2,FALSE,FALSE
"Q9UKU7","green","blue",3,FALSE,FALSE
"Q9UL25",NA,"brown",2,FALSE,FALSE
"Q9UL46",NA,"green",2,FALSE,FALSE
"Q9ULA0",NA,"brown",2,FALSE,FALSE
"Q9ULE0",NA,"blue",2,FALSE,TRUE
"Q9ULV4","green","yellow",3,FALSE,FALSE
"Q9UMS0",NA,"brown",2,FALSE,FALSE
"Q9UMS6",NA,"yellow",2,FALSE,FALSE
"Q9UMZ2",NA,"red",2,FALSE,FALSE
"Q9UN36",NA,"green",2,FALSE,FALSE
"Q9UN86","turquoise",NA,1,FALSE,FALSE
"Q9UNF0",NA,"red",2,FALSE,TRUE
"Q9UNM6",NA,"blue",2,FALSE,TRUE
"Q9UNZ2",NA,"brown",2,FALSE,FALSE
"Q9UPN3",NA,"blue",2,FALSE,FALSE
"Q9UPQ0",NA,"pink",2,FALSE,FALSE
"Q9UPU5",NA,"brown",2,FALSE,FALSE
"Q9UQ16",NA,"green",2,FALSE,FALSE
"Q9UQ80","turquoise","green",3,FALSE,FALSE
"Q9UQ90",NA,"turquoise",2,FALSE,FALSE
"Q9Y224","turquoise","yellow",3,FALSE,TRUE
"Q9Y230","yellow","blue",3,FALSE,TRUE
"Q9Y235","turquoise","turquoise",3,FALSE,FALSE
"Q9Y241",NA,"turquoise",2,FALSE,FALSE
"Q9Y262",NA,"blue",2,FALSE,FALSE
"Q9Y265","green","red",3,FALSE,FALSE
"Q9Y276",NA,"green",2,FALSE,TRUE
"Q9Y277","brown","turquoise",3,FALSE,TRUE
"Q9Y281","yellow","blue",3,FALSE,FALSE
"Q9Y285",NA,"blue",2,FALSE,FALSE
"Q9Y2D5","blue","green",3,FALSE,FALSE
"Q9Y2J0",NA,"green",2,FALSE,FALSE
"Q9Y2J2","turquoise",NA,1,FALSE,FALSE
"Q9Y2P4",NA,"turquoise",2,TRUE,FALSE
"Q9Y2Q3","blue","turquoise",3,FALSE,FALSE
"Q9Y2Q9",NA,"brown",2,FALSE,FALSE
"Q9Y2R0",NA,"blue",2,FALSE,FALSE
"Q9Y2S6",NA,"blue",2,FALSE,TRUE
"Q9Y2W1",NA,"blue",2,FALSE,FALSE
"Q9Y2Z9",NA,"brown",2,FALSE,FALSE
"Q9Y305","blue","pink",3,FALSE,FALSE
"Q9Y333",NA,"yellow",2,FALSE,TRUE
"Q9Y371",NA,"blue",2,FALSE,TRUE
"Q9Y383","turquoise",NA,1,FALSE,FALSE
"Q9Y399",NA,"green",2,FALSE,TRUE
"Q9Y3B3","brown",NA,1,FALSE,FALSE
"Q9Y3B8",NA,"pink",2,FALSE,FALSE
"Q9Y3D2",NA,"brown",2,FALSE,TRUE
"Q9Y3D6",NA,"yellow",2,FALSE,FALSE
"Q9Y3D9",NA,"brown",2,FALSE,FALSE
"Q9Y3E5",NA,"blue",2,FALSE,FALSE
"Q9Y3F4","brown","brown",3,FALSE,FALSE
"Q9Y3I0","red","blue",3,FALSE,FALSE
"Q9Y490","blue","blue",3,FALSE,FALSE
"Q9Y4G6",NA,"brown",2,FALSE,FALSE
"Q9Y4J8",NA,"pink",2,TRUE,FALSE
"Q9Y4L1","blue","turquoise",3,FALSE,FALSE
"Q9Y4W6","blue","yellow",3,FALSE,FALSE
"Q9Y512","blue","blue",3,FALSE,FALSE
"Q9Y5J7",NA,"brown",2,FALSE,TRUE
"Q9Y5J9",NA,"brown",2,FALSE,TRUE
"Q9Y5K5",NA,"yellow",2,FALSE,FALSE
"Q9Y5L4","turquoise","brown",3,FALSE,TRUE
"Q9Y5U8",NA,"pink",2,FALSE,FALSE
"Q9Y5Y9",NA,"green",2,FALSE,TRUE
"Q9Y5Z4",NA,"blue",2,FALSE,FALSE
"Q9Y608",NA,"turquoise",2,FALSE,FALSE
"Q9Y618",NA,"blue",2,FALSE,FALSE
"Q9Y623","yellow","pink",3,FALSE,FALSE
"Q9Y639","turquoise",NA,1,FALSE,FALSE
"Q9Y678","brown",NA,1,FALSE,FALSE
"Q9Y696","brown","yellow",3,FALSE,FALSE
"Q9Y697",NA,"brown",2,FALSE,FALSE
"Q9Y6B6",NA,"green",2,FALSE,FALSE
"Q9Y6C2","blue","brown",3,FALSE,FALSE
"Q9Y6C9","brown","turquoise",3,FALSE,TRUE
"Q9Y6E2",NA,"turquoise",2,FALSE,FALSE
"Q9Y6I3",NA,"red",2,FALSE,FALSE
"Q9Y6I4",NA,"blue",2,FALSE,TRUE
"Q9Y6K8",NA,"brown",2,FALSE,FALSE
"Q9Y6M1","turquoise",NA,1,FALSE,TRUE
"Q9Y6M9","blue","blue",3,FALSE,FALSE
